id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1,2017,Hyderabad,05-04-2017,SRH,RCB,RCB,field,normal,0,SRH,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,
2,2017,Pune,06-04-2017,MI,RPS,RPS,field,normal,0,RPS,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
3,2017,Rajkot,07-04-2017,GT,KKR,KKR,field,normal,0,KKR,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,
4,2017,Indore,08-04-2017,RPS,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
5,2017,Bangalore,08-04-2017,RCB,DC,RCB,bat,normal,0,RCB,15,0,KM Jadhav,M Chinnaswamy Stadium,,,
6,2017,Hyderabad,09-04-2017,GT,SRH,SRH,field,normal,0,SRH,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,
7,2017,Mumbai,09-04-2017,KKR,MI,MI,field,normal,0,MI,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,
8,2017,Indore,10-04-2017,RCB,Kings XI Punjab,RCB,bat,normal,0,Kings XI Punjab,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
9,2017,Pune,11-04-2017,DC,RPS,RPS,field,normal,0,DC,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,
10,2017,Mumbai,12-04-2017,SRH,MI,MI,field,normal,0,MI,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,
11,2017,Kolkata,13-04-2017,Kings XI Punjab,KKR,KKR,field,normal,0,KKR,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,
12,2017,Bangalore,14-04-2017,RCB,MI,MI,field,normal,0,MI,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,
13,2017,Rajkot,14-04-2017,RPS,GT,GT,field,normal,0,GT,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
14,2017,Kolkata,15-04-2017,KKR,SRH,SRH,field,normal,0,KKR,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong,
15,2017,Delhi,15-04-2017,DC,Kings XI Punjab,DC,bat,normal,0,DC,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,
16,2017,Mumbai,16-04-2017,GT,MI,MI,field,normal,0,MI,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,
17,2017,Bangalore,16-04-2017,RPS,RCB,RCB,field,normal,0,RPS,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin,
18,2017,Delhi,17-04-2017,DC,KKR,DC,bat,normal,0,KKR,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,
19,2017,Hyderabad,17-04-2017,SRH,Kings XI Punjab,Kings XI Punjab,field,normal,0,SRH,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh,
20,2017,Rajkot,18-04-2017,RCB,GT,GT,field,normal,0,RCB,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma,
21,2017,Hyderabad,19-04-2017,SRH,DC,SRH,bat,normal,0,SRH,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,
22,2017,Indore,20-04-2017,Kings XI Punjab,MI,MI,field,normal,0,MI,0,8,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin,
23,2017,Kolkata,21-04-2017,KKR,GT,GT,field,normal,0,GT,0,4,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon,
24,2017,Mumbai,22-04-2017,MI,DC,DC,field,normal,0,MI,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi,
25,2017,Pune,22-04-2017,SRH,RPS,RPS,field,normal,0,RPS,0,6,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,
26,2017,Rajkot,23-04-2017,Kings XI Punjab,GT,GT,field,normal,0,Kings XI Punjab,26,0,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus,
27,2017,Kolkata,23-04-2017,KKR,RCB,RCB,field,normal,0,KKR,82,0,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan,
28,2017,Mumbai,24-04-2017,RPS,MI,MI,field,normal,0,RPS,3,0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi,
29,2017,Pune,26-04-2017,RPS,KKR,KKR,field,normal,0,KKR,0,7,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong,
30,2017,Bangalore,27-04-2017,RCB,GT,GT,field,normal,0,GT,0,7,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin,
31,2017,Kolkata,28-04-2017,DC,KKR,KKR,field,normal,0,KKR,0,7,G Gambhir,Eden Gardens,NJ Llong,S Ravi,
32,2017,Chandigarh,28-04-2017,SRH,Kings XI Punjab,Kings XI Punjab,field,normal,0,SRH,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan,
33,2017,Pune,29-04-2017,RPS,RCB,RCB,field,normal,0,RPS,61,0,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,M Erasmus,
34,2017,Rajkot,29-04-2017,GT,MI,GT,bat,tie,0,MI,0,0,KH Pandya,Saurashtra Cricket Association Stadium,AK Chaudhary,CB Gaffaney,
35,2017,Chandigarh,30-04-2017,DC,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,10,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde,CK Nandan,
36,2017,Hyderabad,30-04-2017,SRH,KKR,KKR,field,normal,0,SRH,48,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,S Ravi,
37,2017,Mumbai,01-05-2017,RCB,MI,RCB,bat,normal,0,MI,0,5,RG Sharma,Wankhede Stadium,AK Chaudhary,CB Gaffaney,
38,2017,Pune,01-05-2017,GT,RPS,RPS,field,normal,0,RPS,0,5,BA Stokes,Maharashtra Cricket Association Stadium,M Erasmus,C Shamshuddin,
39,2017,Delhi,02-05-2017,SRH,DC,DC,field,normal,0,DC,0,6,Mohammed Shami,Feroz Shah Kotla,YC Barde,Nitin Menon,
40,2017,Kolkata,03-05-2017,KKR,RPS,RPS,field,normal,0,RPS,0,4,RA Tripathi,Eden Gardens,KN Ananthapadmanabhan,A Nand Kishore,
41,2017,Delhi,04-05-2017,GT,DC,DC,field,normal,0,DC,0,7,RR Pant,Feroz Shah Kotla,M Erasmus,Nitin Menon,
42,2017,Bangalore,05-05-2017,Kings XI Punjab,RCB,RCB,field,normal,0,Kings XI Punjab,19,0,Sandeep Sharma,M Chinnaswamy Stadium,CB Gaffaney,C Shamshuddin,
